match_id,player_slot,gold_per_min,xp_per_min,kills,deaths,assists,level,radiant_win
20,4,322,233,3,9,17,12,1
20,128,508,418,10,8,3,17,1
20,129,298,464,4,7,11,18,1
20,130,385,443,7,13,10,17,1
20,131,443,555,3,7,8,20,1
20,132,428,458,6,3,10,18,1
21,0,600,633,11,6,18,20,1
21,1,360,419,3,3,16,16,1
21,2,466,504,9,5,15,17,1
21,3,384,383,3,8,14,15,1
21,4,665,583,12,3,12,19,1
21,128,314,321,3,9,8,14,1
21,129,383,489,7,9,5,17,1
21,130,306,350,4,10,13,14,1
21,131,208,244,4,10,7,12,1
21,132,481,541,4,4,4,18,1
22,0,372,470,3,5,26,20,1
22,1,413,577,5,6,30,22,1
22,2,462,607,21,8,15,23,1
22,3,525,712,12,7,22,25,1
22,4,499,580,13,7,17,22,1
22,128,422,538,12,10,8,21,1
22,129,314,311,2,9,10,16,1
22,130,248,310,4,11,10,16,1
22,131,416,571,8,13,11,22,1
22,132,362,405,6,12,7,18,1
23,0,420,397,7,6,22,18,1
23,1,498,506,12,13,16,21,1
23,2,426,444,6,10,14,19,1
23,3,678,712,9,5,6,25,1
23,4,418,336,8,16,15,17,1
23,128,438,500,10,2,16,20,1
23,129,310,349,15,8,19,17,1
23,130,337,395,8,13,11,18,1
23,131,329,401,5,12,32,18,1
23,132,338,376,11,7,14,18,1
24,0,297,397,5,8,23,19,1
24,1,384,434,13,11,18,20,1
24,2,286,356,4,12,27,18,1
24,3,377,466,10,8,13,21,1
24,4,417,421,8,11,7,20,1
24,128,629,604,13,9,22,24,1
24,129,374,482,7,4,25,21,1
24,130,439,454,11,12,16,20,1
24,131,487,612,14,6,15,24,1
24,132,288,312,5,13,19,17,1
25,0,478,498,15,8,4,19,1
25,1,436,473,4,7,11,19,1
25,2,528,521,2,3,12,20,1
25,3,283,246,1,11,15,13,1
25,4,607,809,12,3,12,25,1
25,128,214,213,5,9,12,12,1
25,129,527,569,11,7,9,21,1
25,130,298,401,6,8,9,17,1
25,131,314,587,8,3,13,21,1
25,132,392,446,2,7,2,18,1
26,0,412,265,3,1,4,11,0
26,1,520,508,5,0,4,15,0
26,2,498,375,5,6,11,13,0
26,3,668,560,11,0,5,16,0
26,4,642,584,4,2,9,16,0
26,128,398,402,4,5,4,13,0
26,129,361,409,2,5,1,13,0
26,130,158,140,1,9,1,8,0
26,131,269,284,1,5,1,11,0
26,132,191,193,1,5,1,9,0
27,0,287,292,3,10,8,13,0
27,1,471,606,12,12,7,20,0
27,2,386,451,3,9,6,17,0
27,3,374,428,6,12,8,16,0
27,4,412,412,1,8,7,16,0
27,128,735,918,18,5,15,25,0
27,129,550,487,7,7,15,18,0
27,130,507,386,5,5,15,16,0
27,131,624,627,7,3,13,20,0
27,132,441,415,12,7,13,16,0
28,0,331,353,4,7,16,15,0
28,1,795,755,16,4,8,23,0
28,2,332,365,4,2,16,15,0
